type,name,usage_count,node_types,civitai_name,civitai_id,version,download_url,page_url,workflows
vae,Flux_ae.sft,2,VAELoader,Flux 1D INEZ Female Model Lora [Big Round Boobs],2598042,,https://civitai.com/api/download/models/2918422,https://civitai.com/models/2598042,新神器_ICEdit：本地P图(1).json; 新神器_ICEdit：本地P图(1).json
vae,10Eros_v1_bf16.safetensors,1,LTXVAudioVAELoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,10Eros_10SNodes_TripleSample_I2V(2).json
vae,10Eros_LTX2.3_fp8.safetensors,1,LTXVAudioVAELoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,10Eros_i2v(1).json
vae,diffusion_pytorch_model.safetensors,1,VAELoader_Any,V67 Photographic Filters,2551837,,https://civitai.com/api/download/models/2867790,https://civitai.com/models/2551837,AI代码侠土豆-I2V数字人合集(1).json
vae,Wan2.1\Wan2_1_VAE_fp32.safetensors,1,WanVideoVAELoader,Wan 2.2 image to video,2572452,,https://civitai.com/api/download/models/2890303,https://civitai.com/models/2572452,Animate-Z视频人物替换（SD映射版（谢谢wuwukaka）.json
vae,wan2.2-vae.safetensors,1,VAELoader,Wan 2.2 image to video,2572452,,https://civitai.com/api/download/models/2890303,https://civitai.com/models/2572452,code_20260331(1).json
vae,flux2_vae.safetensors,1,VAELoader,MS LuisRoyo Style Flux.2 klein,2588084,,https://civitai.com/api/download/models/2907393,https://civitai.com/models/2588084,flux2-图像参考.json
vae,flux-vae.safetensors,1,VAELoader,Flux 1D INEZ Female Model Lora [Big Round Boobs],2598042,,https://civitai.com/api/download/models/2918422,https://civitai.com/models/2598042,gonzaLomo_Z-Image_Refiner_v11.json
vae,sdxl_vae.safetensors,1,VAELoader,SuperFuta MaxBase — SDXL Realistic / Stylized Merge Experiment,2598728,,https://civitai.com/api/download/models/2919191,https://civitai.com/models/2598728,illustrious V1.json
vae,UltraFluxVae-v1.safetensors,1,VAELoader,UltraFlux VAE (Mirrored from Hugging Face Repo),2245573,,https://civitai.com/api/download/models/2527939,https://civitai.com/models/2245573,Job 51295f1b-6f82-46b8-85bb-cbad83998e2d.json
vae,ltx2.3\ltx-2.3-22b-dev.safetensors,1,LTXVAudioVAELoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX2.3-多帧视频(1).json
vae,ltx-2.3-22b-distilled_video_vae.safetensors,1,VAELoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,ltx2.3测试工作流.json
